"filename", "language", "Python", "HTML", "Ini", "pip requirements", "Markdown", "Docker", "Ignore", "YAML", "Log", "comment", "blank", "total"
"d:\453502\student_performance_service\apps\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\453502\student_performance_service\apps\accounts\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\453502\student_performance_service\apps\accounts\admin.py", "Python", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 87
"d:\453502\student_performance_service\apps\accounts\api_urls.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\453502\student_performance_service\apps\accounts\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\453502\student_performance_service\apps\accounts\management\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\453502\student_performance_service\apps\accounts\management\commands\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\453502\student_performance_service\apps\accounts\management\commands\calculate_ratings.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\453502\student_performance_service\apps\accounts\migrations\0001_initial.py", "Python", 1307, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 1315
"d:\453502\student_performance_service\apps\accounts\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\453502\student_performance_service\apps\accounts\models.py", "Python", 483, 0, 0, 0, 0, 0, 0, 0, 0, 55, 120, 658
"d:\453502\student_performance_service\apps\accounts\urls.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 34
"d:\453502\student_performance_service\apps\accounts\views.py", "Python", 468, 0, 0, 0, 0, 0, 0, 0, 0, 35, 109, 612
"d:\453502\student_performance_service\apps\analytics\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\453502\student_performance_service\apps\analytics\api_urls.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\453502\student_performance_service\apps\analytics\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\453502\student_performance_service\apps\analytics\urls.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\453502\student_performance_service\apps\analytics\views.py", "Python", 298, 0, 0, 0, 0, 0, 0, 0, 0, 22, 76, 396
"d:\453502\student_performance_service\apps\assignments\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\453502\student_performance_service\apps\assignments\api_urls.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\453502\student_performance_service\apps\assignments\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\453502\student_performance_service\apps\assignments\urls.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\453502\student_performance_service\apps\assignments\views.py", "Python", 282, 0, 0, 0, 0, 0, 0, 0, 0, 25, 64, 371
"d:\453502\student_performance_service\apps\attendance\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\453502\student_performance_service\apps\attendance\api_urls.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\453502\student_performance_service\apps\attendance\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\453502\student_performance_service\apps\attendance\urls.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\453502\student_performance_service\apps\chat\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\453502\student_performance_service\apps\chat\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\453502\student_performance_service\apps\chat\consumers.py", "Python", 70, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 86
"d:\453502\student_performance_service\apps\chat\context_processors.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 12
"d:\453502\student_performance_service\apps\chat\routing.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\453502\student_performance_service\apps\chat\urls.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\453502\student_performance_service\apps\chat\views.py", "Python", 201, 0, 0, 0, 0, 0, 0, 0, 0, 21, 39, 261
"d:\453502\student_performance_service\apps\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\453502\student_performance_service\apps\core\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\453502\student_performance_service\apps\core\context_processors.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8
"d:\453502\student_performance_service\apps\core\templatetags\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\453502\student_performance_service\apps\core\templatetags\custom_filters.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 10
"d:\453502\student_performance_service\apps\core\urls.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\453502\student_performance_service\apps\core\views.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 45
"d:\453502\student_performance_service\apps\grades\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\453502\student_performance_service\apps\grades\api_urls.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\453502\student_performance_service\apps\grades\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\453502\student_performance_service\apps\grades\templatetags\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\453502\student_performance_service\apps\grades\templatetags\grade_filters.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"d:\453502\student_performance_service\apps\grades\urls.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\453502\student_performance_service\apps\grades\views.py", "Python", 144, 0, 0, 0, 0, 0, 0, 0, 0, 18, 32, 194
"d:\453502\student_performance_service\apps\notifications\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\453502\student_performance_service\apps\notifications\api_urls.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\453502\student_performance_service\apps\notifications\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\453502\student_performance_service\apps\notifications\consumers.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"d:\453502\student_performance_service\apps\notifications\routing.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\453502\student_performance_service\apps\notifications\urls.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\453502\student_performance_service\apps\notifications\utils.py", "Python", 69, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 94
"d:\453502\student_performance_service\apps\notifications\views.py", "Python", 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 73
"d:\453502\student_performance_service\apps\requests_app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\453502\student_performance_service\apps\requests_app\api_urls.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\453502\student_performance_service\apps\requests_app\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\453502\student_performance_service\apps\requests_app\urls.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\453502\student_performance_service\apps\requests_app\views.py", "Python", 117, 0, 0, 0, 0, 0, 0, 0, 0, 9, 28, 154
"d:\453502\student_performance_service\apps\schedule\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
